run_name,drop_high_freq,dataset,vectors_name,model_name,use_species,run_name_clean,mixed_data_method,mixed_embeddings,auc_emb_PR,auc_emb_MLP
sweep_mixed_embeddings_mushrooms_concatenate,True,mushrooms,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,concatenate,True,0.7554373688938721,0.7150012135491027
sweep_mixed_embeddings_mushrooms_concatenate_difference,True,mushrooms,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,concatenate_difference,True,0.7532997854038523,0.7208099561613353
sweep_mixed_embeddings_plants_concatenate_difference,True,plants,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,concatenate_difference,True,0.7615125817247339,0.7237538306706246
sweep_mixed_embeddings_arthropods_difference,True,arthropods,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,difference,True,0.7343172091922484,0.7072555655137001
sweep_mixed_embeddings_arthropods_concatenate,True,arthropods,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,concatenate,True,0.7374160981028697,0.7134484103718667
sweep_mixed_embeddings_arthropods_sum,True,arthropods,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,sum,True,0.7287606989502532,0.708359378829822
sweep_mixed_embeddings_arthropods_concatenate_difference,True,arthropods,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,concatenate_difference,True,0.7320003565525846,0.7074082924260277
sweep_mixed_embeddings_mushrooms_difference,True,mushrooms,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,difference,True,0.7487217921745161,0.7242113346295582
sweep_mixed_embeddings_plants_difference,True,plants,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,difference,True,0.7602072976536599,0.7161248763391366
sweep_mixed_embeddings_plants_sum,True,plants,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,sum,True,0.7582074779937352,0.7269161823921477
sweep_mixed_embeddings_plants_concatenate,True,plants,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,concatenate,True,0.7597305224449152,0.7165740056000217
sweep_mixed_embeddings_mushrooms_sum,True,mushrooms,vectors_bioclip,contrastive,False,sweep_mixed_embeddings,sum,True,0.7512253891103641,0.7124274809523884
